Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,Home_clean_sheets_5,Home_goals_conceded_5avg,Away_clean_sheets_5,Away_goals_conceded_5avg,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_days_rest,Away_days_rest,Home_comeback_pts_10,Away_comeback_pts_10,h2h_goal_diff
2019-02-02,Monaco,Toulouse,2,1,H,1,1,D,,13,10,3,3,11,16,6,5,2,3,0,0,7.908333333333334,8.4125,12.4,2018,1.4710526315789474,1.0868421052631578,0.6,0.5,1.0,0.4,0.0,2.8,2.0,0.8,0.07406584453579232,0.16664583593717452,1.6,2.6,3.0,28.0,0.0,1.0,0
2019-02-02,Reims,Marseille,2,1,H,1,0,H,,9,13,4,5,11,15,6,5,3,0,0,0,3.416666666666666,16.783333333333335,2.7000000000000006,2018,1.4710526315789474,1.0868421052631578,1.4,0.4,1.6,0.5,0.0,1.2,1.0,1.4,0.12194229690510452,0.07894113622608742,1.6,1.8,28.0,4.0,0.0,0.0,0
2019-02-02,Rennes,Amiens,1,0,H,0,0,D,,15,8,4,1,11,12,7,4,1,3,0,0,4.066666666666666,20.133333333333336,0.1,2018,1.4710526315789474,1.0868421052631578,1.6,0.3,1.0,0.4,3.0,1.0,1.0,1.4,0.11999280043197406,0.19044898347855066,2.2,2.8,29.0,26.0,0.0,0.0,0
2019-03-02,Lyon,Paris SG,2,1,H,1,1,D,,14,16,10,9,10,12,6,8,1,2,0,0,2.8833333333333333,24.454166666666666,5.299999999999999,2018,1.4710526315789474,1.0868421052631578,1.2,0.3,2.4,0.4,2.0,0.8,3.0,0.6,0.07842675921024253,0.12244148317449952,0.8,1.4,320.0,568.0,0.0,1.0,0
2019-03-02,Nimes,Montpellier,1,1,D,1,0,H,,12,11,5,4,20,23,5,3,2,1,0,0,5.949999999999999,30.325,0.1,2018,1.4710526315789474,1.0868421052631578,1.8,0.4,0.6,0.4,2.0,1.0,1.0,1.0,0.09301676627212055,0.02856897980173128,1.6,1.2,4.0,7.0,0.0,1.0,0
2019-05-02,Marseille,Bordeaux,1,0,H,1,0,H,,24,6,7,1,18,13,4,2,3,2,0,1,7.070833333333333,10.95,0.2,2018,1.4710526315789474,1.0868421052631578,0.8,0.3,0.6,0.4,2.0,1.0,1.0,0.8,0.044441481678999174,0.052627424150724945,2.6,1.4,12.0,11.0,0.0,0.0,0
2019-08-02,Dijon,Marseille,1,2,A,1,0,H,,10,18,4,8,11,11,3,12,3,3,0,0,4.395833333333333,13.191666666666668,0.1,2018,1.4710526315789474,1.0868421052631578,1.0,0.4,1.2,0.4,2.0,1.2,1.0,1.6,0.14284489900865643,0.08107450747236711,2.8,1.4,13.0,13.0,0.0,0.0,0
2019-09-02,Amiens,Caen,1,0,H,0,0,D,,10,11,1,4,12,14,4,2,0,0,0,0,8.662499999999998,27.787500000000005,1.8000000000000005,2018,1.4710526315789474,1.0868421052631578,0.2,0.4,1.0,0.3,1.0,1.8,1.0,1.4,0.0,0.19044898347855066,1.6,2.0,-308.0,36.0,0.0,0.0,0
2019-09-02,Paris SG,Bordeaux,1,0,H,1,0,H,,10,8,3,3,14,21,4,8,3,3,0,0,9.1625,25.78333333333333,1.1,2018,1.4710526315789474,1.0868421052631578,3.4,0.4,0.4,0.3,3.0,0.4,1.0,0.8,0.2153746750149993,0.07691420220743761,1.2,1.6,8.0,96.0,0.0,0.0,0
2019-09-02,Strasbourg,Angers,1,2,A,0,1,A,,16,8,7,3,14,13,5,3,2,3,0,0,7.879166666666666,21.149999999999995,0.7999999999999999,2018,1.4710526315789474,1.0868421052631578,1.2,0.4,0.4,0.3,2.0,0.8,3.0,0.8,0.1612747153501274,0.03225494307002548,2.0,1.6,35.0,4.0,1.0,0.0,0
2019-10-02,Guingamp,Lille,0,2,A,0,0,D,,7,9,1,3,15,11,7,4,2,1,0,0,6.845833333333332,25.8125,9.5,2018,1.4710526315789474,1.0868421052631578,0.6,0.4,1.8,0.3,1.0,1.0,1.0,1.2,0.08332291796858726,0.28568367674891976,1.0,2.6,10.0,-280.0,0.0,0.0,0
2019-10-02,Montpellier,Monaco,2,2,D,0,1,A,,12,10,3,5,16,20,5,3,1,6,0,1,9.479166666666666,13.954166666666666,0.2,2018,1.4710526315789474,1.0868421052631578,1.6,0.5,0.8,0.2,2.0,0.8,2.0,1.2,0.07499437542184337,0.033330000333300004,1.6,2.2,36.0,13.0,0.0,0.0,0
2019-10-02,Nantes,Nimes,2,4,A,2,0,H,,15,13,4,4,10,11,9,4,1,2,0,0,8.966666666666669,29.2125,17.0,2018,1.4710526315789474,1.0868421052631578,1.4,0.5,1.4,0.2,1.0,1.0,2.0,1.4,0.056600569779069104,0.03636165300074541,2.0,1.8,17.0,35.0,0.0,0.0,0
2019-10-02,Nice,Lyon,1,0,H,0,0,D,,11,23,4,5,7,13,4,14,2,2,0,0,8.904166666666667,7.379166666666667,0.2,2018,1.4710526315789474,1.0868421052631578,1.2,0.6,1.6,0.2,4.0,0.2,1.0,1.2,0.08510095100312746,0.07936130025554339,1.8,2.0,-309.0,7.0,0.0,2.0,0
2019-10-02,Rennes,St Etienne,3,0,H,1,0,H,,15,15,5,3,7,8,6,8,0,4,0,1,8.229166666666664,25.766666666666666,14.7,2018,1.4710526315789474,1.0868421052631578,1.6,0.6,1.0,0.2,4.0,0.8,1.0,1.2,0.11362861623071156,0.11998560172779267,1.6,2.0,13.0,-305.0,0.0,0.0,0
2019-10-02,Toulouse,Reims,1,1,D,0,0,D,,9,9,3,3,18,13,3,3,2,4,0,0,8.533333333333333,17.541666666666668,0.7999999999999999,2018,1.4710526315789474,1.0868421052631578,1.0,0.6,0.6,0.3,1.0,1.4,2.0,0.8,0.08107450747236711,0.1249843769528809,2.0,1.6,11.0,-279.0,0.0,0.0,0
2019-02-13,Caen,Nantes,0,1,A,0,0,D,,14,13,1,4,17,11,4,8,4,3,0,1,4.95,9.55,0.0,2018,1.4710526315789474,1.0868421052631578,0.8,0.5,0.2,0.3,0.0,1.6,0.0,1.4,0.09676482921007644,0.0,2.8,1.6,-285.0,4.0,0.0,0.0,0
2019-02-13,St Etienne,Strasbourg,2,1,H,2,0,H,,11,9,6,2,11,28,3,4,0,5,0,0,2.2250000000000005,6.545833333333333,0.0,2018,1.4710526315789474,1.0868421052631578,2.2,0.5,2.4,0.4,3.0,0.6,1.0,1.0,0.13635433947685385,0.24240220586007333,2.0,1.4,4.0,6.0,2.0,0.0,0
2019-02-15,Lyon,Guingamp,2,1,H,2,1,H,,18,14,9,3,5,10,7,2,2,1,0,0,5.591666666666668,5.95,0.0,2018,1.4710526315789474,1.0868421052631578,1.4,0.5,0.8,0.4,2.0,0.8,1.0,3.6,0.11999280043197406,0.09374121176139738,0.8,2.2,-244.0,28.0,0.0,0.0,0
2019-02-15,Nimes,Dijon,2,0,H,1,0,H,,14,12,6,2,10,17,5,4,2,5,0,1,6.583333333333333,4.758333333333334,0.0,2018,1.4710526315789474,1.0868421052631578,1.4,0.4,0.4,0.4,1.0,1.2,0.0,1.8,0.08888296335799835,0.0,1.8,2.2,38.0,13.0,0.0,0.0,0
2019-02-16,Angers,Nice,3,0,H,1,0,H,,12,13,4,4,12,8,8,5,0,2,0,0,6.437499999999999,8.437499999999996,0.0,2018,1.4710526315789474,1.0868421052631578,1.0,0.5,0.4,0.3,2.0,0.8,1.0,1.6,0.08570693940519385,0.09998500224966253,1.0,1.2,13.0,-17.0,0.0,0.0,0
2019-02-16,Marseille,Amiens,2,0,H,2,0,H,,16,10,5,2,15,15,3,6,1,0,0,0,10.145833333333336,5.541666666666667,0.0,2018,1.4710526315789474,1.0868421052631578,1.0,0.5,0.8,0.3,3.0,0.6,0.0,1.6,0.056600569779069104,0.11109259567849801,2.4,3.2,97.0,15.0,0.0,0.0,0
