Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,Home_clean_sheets_5,Home_goals_conceded_5avg,Away_clean_sheets_5,Away_goals_conceded_5avg,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10,h2h_goal_diff
F1,2018-03-14,Paris SG,Angers,2,1,H,2,0,H,14,20,7,8,7,11,7,8,1,2,1,0,9.437500000000002,16.333333333333336,0.0,2017,1.5289473684210526,1.1894736842105262,5.0,0.4,0.8,0.2,4.0,0.4,1.0,1.0,0.27081640730787654,0.09676482921007644,1.8,2.6,0.0,0.0,0
F1,2018-03-16,Monaco,Lille,2,1,H,1,1,D,10,14,4,5,13,10,4,2,2,0,0,0,10.170833333333333,6.095833333333334,0.2,2017,1.5289473684210526,1.1894736842105262,2.8,0.5,0.8,0.1,1.0,1.2,1.0,1.6,0.2045315092152808,0.10713137878084492,2.0,1.6,1.0,0.0,0
F1,2018-03-17,Amiens,Troyes,1,1,D,1,0,H,8,11,1,5,13,11,4,4,1,1,0,0,2.125,15.695833333333336,5.499999999999997,2017,1.5289473684210526,1.1894736842105262,0.8,0.4,0.4,0.0,1.0,1.2,0.0,1.8,0.0,0.03571045959361497,1.4,2.6,0.0,0.0,0
F1,2018-03-17,Angers,Caen,3,0,H,2,0,H,13,8,6,2,11,9,1,4,1,2,0,0,5.629166666666666,7.0,3.9,2017,1.5289473684210526,1.1894736842105262,1.4,0.5,0.6,0.0,2.0,1.2,2.0,1.0,0.06666222251849876,0.0,0.8,2.6,0.0,0.0,0
F1,2018-03-17,Bordeaux,Rennes,0,2,A,0,0,D,9,6,2,3,13,8,4,2,2,1,0,0,6.474999999999998,9.508333333333336,5.1,2017,1.5289473684210526,1.1894736842105262,1.2,0.5,1.8,0.1,2.0,1.0,2.0,1.0,0.06122074158724976,0.1714138788103877,1.6,1.2,0.0,2.0,0
F1,2018-03-17,Montpellier,Dijon,2,2,D,0,1,A,18,10,11,7,16,13,4,5,1,4,0,0,9.4375,10.020833333333332,2.8000000000000003,2017,1.5289473684210526,1.1894736842105262,1.2,0.4,0.8,0.1,1.0,0.8,1.0,3.4,0.10809934329648947,0.08694518106333955,1.8,1.6,0.0,0.0,0
F1,2018-03-17,Toulouse,Strasbourg,2,2,D,0,0,D,11,12,6,4,12,11,6,2,2,1,0,0,6.179166666666666,10.254166666666666,1.4,2017,1.5289473684210526,1.1894736842105262,1.2,0.3,0.6,0.1,1.0,1.4,0.0,2.8,0.19044898347855066,0.0882275093374114,2.0,2.0,0.0,0.0,0
F1,2018-03-18,Marseille,Lyon,2,3,A,1,1,D,10,11,5,6,12,14,2,4,2,3,0,0,9.425,23.99166666666667,0.0,2017,1.5289473684210526,1.1894736842105262,2.4,0.3,1.6,0.1,2.0,1.2,1.0,1.8,0.15383727861854124,0.11110370419749796,2.2,2.8,0.0,1.0,0
F1,2018-03-18,Metz,Nantes,1,1,D,1,1,D,8,15,4,4,7,10,3,4,2,0,0,0,-1.2541666666666669,20.004166666666663,2.1,2017,1.5289473684210526,1.1894736842105262,1.8,0.3,1.6,0.1,2.0,0.6,1.0,1.2,0.07691716021844473,0.12498828234852984,2.2,2.6,0.0,0.0,0
F1,2018-03-18,Nice,Paris SG,1,2,A,1,1,D,14,19,4,7,8,12,5,4,0,1,0,0,7.866666666666664,8.429166666666665,5.299999999999999,2017,1.5289473684210526,1.1894736842105262,1.0,0.4,1.6,0.2,2.0,0.6,4.0,0.4,0.06122074158724976,0.09999500024998749,2.2,1.8,0.0,0.0,0
