Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,h2h_goal_diff
2013-10-19,Rennes,Valenciennes,2,2,D,1.0,0.0,H,,13.0,13.0,5.0,6.0,7.0,12.0,1.0,8.0,1.0,0.0,0.0,0.0,15.616666666666667,15.291666666666664,19.0,2013,1.4157894736842105,1.0394736842105263,1.25,0.4,0.0,0.0,0.0
2013-10-19,Paris SG,Bastia,4,0,H,2.0,0.0,H,,20.0,11.0,8.0,2.0,9.0,15.0,6.0,3.0,0.0,2.0,0.0,0.0,14.545833333333334,12.754166666666668,0.9,2013,1.4157894736842105,1.0394736842105263,1.5,0.4,0.6,0.0,0.0
2013-10-19,Evian Thonon Gaillard,Guingamp,1,2,A,1.0,0.0,H,,10.0,9.0,2.0,5.0,17.0,12.0,4.0,6.0,2.0,0.0,0.0,0.0,14.975,6.2875000000000005,0.3,2013,1.4157894736842105,1.0394736842105263,1.4,0.16666666666666666,0.25,0.0,0.0
2013-10-19,Montpellier,Lille,0,1,A,0.0,1.0,A,,11.0,9.0,4.0,2.0,7.0,17.0,5.0,4.0,0.0,3.0,0.0,0.0,18.1,29.14583333333333,9.7,2013,1.4157894736842105,1.0394736842105263,1.6,0.3333333333333333,0.75,0.2,0.0
2013-10-19,Ajaccio,Nantes,0,1,A,0.0,0.0,D,,7.0,16.0,3.0,5.0,18.0,16.0,7.0,6.0,2.0,3.0,0.0,0.0,20.01666666666667,5.2,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.16666666666666666,1.25,0.2,0.0
2013-10-20,Lyon,Bordeaux,1,1,D,0.0,0.0,D,,18.0,9.0,6.0,1.0,16.0,15.0,5.0,5.0,1.0,2.0,1.0,0.0,16.337500000000002,15.741666666666664,3.6000000000000005,2013,1.4157894736842105,1.0394736842105263,1.4,0.3333333333333333,1.5,0.0,0.0
2013-10-20,Sochaux,Monaco,2,2,D,0.0,2.0,A,,16.0,12.0,7.0,5.0,16.0,18.0,9.0,3.0,2.0,2.0,0.0,0.0,14.379166666666665,11.9625,6.4,2013,1.4157894736842105,1.0394736842105263,0.75,0.2,1.5,0.4,0.0
2013-10-20,St Etienne,Lorient,3,2,H,2.0,1.0,H,,19.0,11.0,7.0,5.0,19.0,11.0,4.0,4.0,3.0,2.0,0.0,0.0,14.770833333333336,13.795833333333334,5.499999999999999,2013,1.4157894736842105,1.0394736842105263,1.5,0.4,0.2,0.0,0.0
2013-10-25,Nantes,Lille,0,1,A,0.0,1.0,A,,7.0,12.0,2.0,4.0,11.0,19.0,5.0,1.0,0.0,4.0,1.0,0.0,16.941666666666663,14.5,1.5,2013,1.4157894736842105,1.0394736842105263,1.8,0.6666666666666666,0.8,0.3333333333333333,0.0
2013-10-26,Toulouse,Rennes,0,5,A,0.0,3.0,A,,16.0,14.0,2.0,10.0,11.0,15.0,4.0,2.0,1.0,1.0,0.0,0.0,20.70833333333333,15.733333333333333,0.3,2013,1.4157894736842105,1.0394736842105263,1.0,0.4,0.6,0.16666666666666666,0.0
